Country name,Country code,Year,Number of deaths from disasters,Number of people injured from disasters,Number of total people affected by disasters,Number of people left homeless from disasters,Total economic damages from disasters as a share of GDP,Number of deaths from drought,Number of people injured from drought,Number of total people affected by drought,Number of people left homeless from drought,Total economic damages from drought as a share of GDP,Number of deaths from earthquakes,Number of people injured from earthquakes,Number of total people affected by earthquakes,Number of people left homeless from earthquakes,Total economic damages from earthquakes as a share of GDP,Number of deaths from volcanic activity,Number of people injured from volcanic activity,Number of total people affected by volcanic activity,Number of people left homeless from volcanic activity,Total economic damages from volcanic activity as a share of GDP,Number of deaths from floods,Number of people injured from floods,Number of total people affected by floods,Number of people left homeless from floods,Total economic damages from floods as a share of GDP,Number of deaths from mass movements,Number of people injured from mass movements,Number of total people affected by mass movements,Number of people left homeless from mass movements,Total economic damages from mass movements as a share of GDP,Number of deaths from storms,Number of people injured from storms,Number of total people affected by storms,Number of people left homeless from storms,Total economic damages from storms as a share of GDP,Number of deaths from landslides,Number of people injured from landslides,Number of total people affected by landslides,Number of people left homeless from landslides,Total economic damages from landslides as a share of GDP,Number of deaths from wildfires,Number of people injured from wildfires,Number of total people affected by wildfires,Number of people left homeless from wildfires,Total economic damages from wildfires as a share of GDP,Number of deaths from extreme temperatures,Number of people injured from extreme temperatures,Number of total people affected by extreme temperatures,Number of people left homeless from extreme temperatures,Total economic damages from extreme temperatures as a share of GDP
Dominica,DMA,2020,275192,48484,29213720,947515,8.959935850823731,3600902,1514423,2200177,1008253,3.1677287671261,744226,2701031,2655159,712056,6.834254094941366,1710458,105880,3813153,68619,8.667184480001053,905229,756586,4717847,2796008,8.992589522062502,5416592,240172,4009127,1103719,8.13958250609883,2466203,1579345,8899343,1442300,9.188415210967484,3127066,1654888,29482883,1790184,3.973488657946121,243437,128313,6323654,1416373,4.688056918688231,71694,1891086,31346924,163238,0.69067428369879
Dominican Republic,DOM,2020,291789,513430,40289123,400356,3.3088624276458054,204779,94622,25136478,1257115,2.0039231617583675,330405,203117,6800957,587504,9.143417750665726,790816,435436,932711,570734,8.347400826975482,4412,1021385,3289290,1408043,5.893475336768916,1248297,43168,2418509,874162,0.156215283454818,552020,663187,22639658,1322291,2.930544364114485,2054321,988114,1014481,120555,5.81912528183779,30561,51179,6228518,598776,6.6859063629360165,253855,274417,5892057,78026,5.824449725971829
East Timor,TLS,2020,16680,1621460,5212108,1135273,1.0502463840686338,376034,226177,10469917,141760,5.503471010502027,958545,663057,3423485,2257558,2.7104568558301665,643191,135808,124862,435991,0.5428847419621097,2586974,107057,510331,1356953,8.854949897672283,321493,327582,6018884,853208,4.152746372336802,1213150,920744,2271417,315679,5.633501899244139,1709276,456035,3925332,200563,5.601667092128206,188325,907028,618180,1131085,4.897096354551072,1168419,3117764,7588768,571327,0.6022154869979646
Ecuador,ECU,2020,4202496,2336024,15146076,874091,9.1479040664287,262057,545138,7262541,2010089,6.38062270433845,354717,268725,8042983,1516807,8.519717286916263,799649,441570,4636837,531213,2.5488373995545457,475829,100703,6189486,70393,8.405365969719599,628443,252344,18681381,439054,8.677233773351462,665414,709318,3584203,1341382,7.65845656597111,1957155,696597,1478648,1227212,0.0275408806983024,406939,832565,22143656,1571744,0.0215284624205458,494148,780761,5350142,593519,6.545305174574638
Egypt,EGY,2020,2310940,3132735,4348254,1247449,7.608355889792199,657351,3336,9004212,1527250,4.968406633274939,1636469,456556,7251507,1507566,6.567021313007406,37006,359710,2498630,1229501,2.1082370301269027,366124,23195,1093801,738582,9.851210868521306,2907014,63553,7657538,666253,7.882014404793236,3676414,1685981,5807257,185733,1.7212980408274905,2028103,469216,6036200,74934,7.910838802383465,314202,58121,1298030,645108,7.027965929176331,263091,2283358,1836342,361657,3.4072946305162843
El Salvador,SLV,2020,2494591,1221015,4581724,673554,9.492667782940714,248654,44136,3553607,3503160,8.675994580860438,876900,600376,11163828,328015,2.5373401804217552,1212076,986255,8520483,2483904,4.798536219634241,1714671,2086671,12181415,27391,3.628849375632152,458282,246812,6192544,379686,6.559002854602244,381527,2052557,220700,381835,5.805656691024014,97265,104481,14105616,735185,7.6306468431675345,2258252,110987,2163210,361683,9.36222681931522,4062057,359819,4957458,1116836,4.6011191800391344
Equatorial Guinea,GNQ,2020,853801,2161931,5351613,1801236,2.0353541901073733,1520722,224388,2666886,50652,4.430536076571364,762799,2348194,3619839,368206,3.794502619095886,1530804,3046654,10204482,206052,8.813050183687766,704916,3100489,788919,1419096,7.749684687109399,312736,704904,15478813,617,6.068570559094714,668222,1110530,23849397,588450,0.9694662343099792,1849218,3123390,3531793,691115,1.3048729574912188,340924,8263,41464781,497737,6.438643485895276,992808,3328885,3488262,3717638,1.5480097837537965
Eritrea,ERI,2020,916053,3050031,1863608,820370,6.778228412147183,842113,1809048,6541611,1045058,5.130197550561246,342585,31273,17910806,71034,4.0830111829858495,233127,318739,743935,819949,2.467856118043718,483526,48309,8512427,1050224,7.542028139298177,3564572,1511359,18793595,1507004,4.012421062560525,668953,2043429,2226392,295384,3.788830973453784,2580998,143298,4916109,2021720,0.2826015721224229,22318,183621,9365181,1617502,8.812685737940502,385233,1605313,1683624,686531,1.1894475925205428
Estonia,EST,2020,18812,1134272,24553952,29959,3.641921748483668,1140935,382063,11272250,930109,4.888936619496849,1311793,370623,1291143,1024892,8.408950603258868,218900,448207,7435913,1764935,6.563354660440659,2277762,285407,3741584,972661,9.177481541677428,620304,218614,5662738,858893,8.637635928649072,1030489,76186,2645602,26797,7.840690282391676,235097,1114721,3947500,2148959,2.81615686360924,1521895,3234018,2349613,721367,3.257518081141396,63018,116330,6571349,1648315,8.277192505325536
Eswatini,SWZ,2020,983496,1864259,3543481,1058374,4.968560245638518,2481056,1412177,1320301,1704950,9.725668817983143,276593,984125,6234246,440651,5.709640658892617,184216,1363450,2579441,222255,1.5275439507650046,1416279,27703,4506909,420285,3.6023933380075923,149385,72337,1159045,1340628,5.39534394132343,939381,342082,3327403,144505,6.551541908619819,462736,1534380,13637872,1133733,5.219437306895491,927350,1410008,6055811,991485,8.743560512399423,1182569,3230491,25515384,680347,6.3697694851337445
Ethiopia,ETH,2020,621275,622009,8541365,629245,8.17350115298537,326267,1553361,23538342,621313,6.7830319922574684,1926155,1674786,18572,360692,0.8616213716339194,850240,1463156,16950356,218830,3.560081187522476,34360,2604076,28079907,293125,5.991819631797287,138430,295066,610226,70457,3.436090182566537,972699,1699667,26001085,130468,2.423864880588482,1505182,1753665,5573397,473329,0.3996728524380299,121851,410595,10128657,797294,7.200217453528604,628499,667311,6284620,2097720,6.954384572568144
Fiji,FJI,2020,32327,1280974,28380771,866984,8.565038712684354,75375,1443259,15766008,447205,5.756000017143292,378802,1267125,3884258,2324234,8.76884295585859,1292347,2135137,17387958,1533897,2.250877683638813,435276,318519,10294946,373482,2.833438361327263,228903,17228,50846310,1025494,3.53755519452759,3018148,156479,1495784,292936,9.235950390438155,1275658,1767410,12700319,1499830,4.269636990623966,1477907,390124,23678379,807137,1.717973316395739,1039565,65901,6591213,125122,6.171937590265691
Finland,FIN,2020,3106313,992323,1219763,1866043,1.8213377528915964,242477,137761,6922892,1844681,3.3996970947410654,1074174,43655,14731181,554164,1.1378962380788626,4986890,5207350,3947778,3131179,5.782514828921975,1617334,318680,1897907,2216672,1.0587847138041229,834983,2196726,637249,2258939,9.040795727325836,254399,1699047,8334284,518839,8.210651394791501,286912,726700,1405027,232517,8.772485327434945,815414,156856,20198088,113481,3.145580291098482,158787,40697,5365152,724856,6.761257492198119
France,FRA,2020,304308,4042606,5530499,860426,1.5612877991248342,691739,316400,1697238,516095,5.474266526966257,470499,358257,9555764,3573034,3.439786773560364,834068,172696,1610213,914095,7.089280748264082,1866516,1051969,3721466,1131889,0.1521686829893742,458323,139815,59198755,92353,8.154059922906958,4106763,840025,126273,1044479,0.5354638871286344,275729,1361623,19827743,267822,0.9184707662670422,2099956,1579972,1398667,1431511,5.410974203787228,215532,4249,3993959,93780,6.587642785916945
French Guiana,GUF,2020,492999,287552,12893936,1234520,0.8665032226462643,344955,390188,8993074,1085242,4.579586540953093,984143,9247,5774062,301143,6.183049547226355,1257781,612896,15729011,596520,9.321793780678158,1168653,494839,5614691,205068,3.0773255486041027,428092,1007319,1291698,496726,4.9613788779489,787776,300788,3277036,544407,9.75103034208244,185751,165385,33097137,1211103,0.5271559153123884,391623,3335507,2704799,498026,2.987528024021069,590189,412353,4081651,724934,9.285869062470413
French Polynesia,PYF,2020,1657177,827389,14575800,433479,7.935664351475543,240005,1130048,2109346,26573,7.299440186946235,773319,2403903,17589703,91931,8.362279541601822,105954,1335702,10682563,268793,7.280446222386504,1506442,1006782,527201,1739245,3.759879817157177,265348,297553,17111991,1424269,2.719025130489751,2074021,2256518,3676030,103125,2.218539180822291,524777,461792,14120049,195624,3.434924736656714,518485,643522,10469383,3578372,4.926077241907272,190291,334127,15255619,29364,7.334564450897844
Gabon,GAB,2020,797377,4813402,5493452,3440382,0.1346235821886987,920424,818509,6183808,7641,0.4220536057385105,2826285,151349,18531310,498552,7.294397107560475,167779,907366,3253016,543683,3.181866644515124,439126,683866,14940882,644450,5.8930659461254775,156852,1963434,3182521,2024451,8.551623390413942,266677,774591,6290522,1756750,8.5598050708147,525183,829471,8584543,457064,2.663698289758647,1903812,1260115,9382883,635806,5.286548150080495,3343672,868000,7335922,53484,5.338999298351651
Gambia,GMB,2020,2168969,193541,372367,281424,3.742539703294177,1812100,685297,13512475,464928,7.027063398824427,1230602,92479,19813,2648398,9.711063274377535,11158,358264,17185727,908153,0.7340360817791092,282596,2639147,25702873,3693033,4.625578297632699,1514900,670435,8344437,559649,7.94601349190934,2734735,1559779,20405463,745745,1.993014337635698,547043,2172928,7275234,1415826,8.189140608621804,300451,295775,3651630,1402387,8.2571159191634,1427635,2508915,3656231,4196959,5.913661630776465
Georgia,GEO,2020,57393,15904,13129117,201634,1.938832023954422,173084,752418,3468848,2110705,7.619678363409728,731983,2140910,3122805,424057,6.080799390994542,1600796,692846,25627728,263160,7.45563300707211,275097,234040,1154419,913355,6.81733157563505,437906,1173373,1811258,424879,5.944285269588784,2310249,164718,5364832,338667,0.964400003462218,136730,2037643,5107737,537154,4.432724308851047,1019381,547946,11548788,4675780,0.6906000836459192,593797,1178571,1406677,1335994,8.272812004999698
Germany,DEU,2020,49515,27533,605536,938777,3.737802963442392,223025,617951,2410019,205234,0.1159894009363304,18343,15390,1179337,1232811,6.920343299776516,25336,121377,4660304,307862,7.904765052362471,1044573,84833,2693700,756039,9.860627527302857,701609,2052392,15809644,3066823,1.1566329217900395,162624,1059917,13810400,1025845,3.524941822175646,78469,867874,7532875,568463,4.639928593823317,462483,976273,1752067,1831806,0.8928007899262524,781755,452655,8872381,229045,4.608730653742544
Ghana,GHA,2020,86769,1370537,33629104,1035017,1.708182719237864,448407,2206993,9939314,630687,7.684901667692355,15610,1123861,4447510,31890,1.2793361960499838,498040,1688290,11368028,306305,1.944335440169937,2422084,1131555,9813498,2043543,2.7096406501641668,221990,358499,16645086,567563,1.422177719552451,399738,499266,2536163,309761,2.05337264193634,611279,402838,20690654,504988,7.282503951551247,72942,3985860,210054,718995,1.5668744521961664,86748,32362,7639590,1903799,0.9374407620884184
Greece,GRC,2020,81147,3514211,2359218,165087,3.844017517412508,646452,2588689,9288839,2099663,9.806423299575252,668130,129406,4495477,1741340,4.928937294638068,757081,265442,2400187,1206911,8.694951021170676,4041203,120373,9229958,1668938,7.762049101146541,3129631,68206,1949,72961,0.5218292877121722,369172,552360,4732248,22993,5.353771386462905,341743,5633915,6383718,302268,7.03019923980907,8443,115437,27336633,123525,7.0504788642318985,409994,720178,10244076,140633,9.102062749644746
Greenland,GRL,2020,135120,3962287,16817447,959157,3.448101031240512,86747,489055,7434229,1500752,6.1513907041296045,683466,2037457,2650275,1280946,7.949862298841339,286090,195776,2510793,233571,8.953141979663817,362856,488652,18319625,1248034,9.653987228857424,2956615,41090,10589996,375659,2.394708864483679,1173928,1272595,360862,116476,6.123077169376996,173041,4072378,1095711,2652379,1.6582645996961898,586250,1141070,36918858,1639477,7.607970039893264,1071338,150501,7615134,870974,7.256043686332291
Grenada,GRD,2020,555731,230649,16833344,392466,6.822624770323004,245349,584577,5801040,1292579,4.360722611340443,899894,657014,11559527,3417981,6.65906750374294,1049847,40447,1645929,80802,4.816745992735458,62167,1809444,4281393,468508,5.168148570880798,139983,660253,4057364,83280,3.788930679642787,813448,247451,2536484,863297,3.193690887304101,1667763,455770,1462326,621103,6.059995093251269,2452641,534987,6779062,553408,3.2386544910814887,462631,559667,24643819,1498495,5.132078424660202
Guatemala,GTM,2020,255211,1995505,8036222,3024542,4.843928417375408,669884,1703065,4228597,99002,5.67777691339065,68227,939391,412234,1569353,4.94305065024032,963917,1132168,19396357,162031,0.7059994083353582,568861,897805,9373762,1395123,9.979131849547274,271472,214103,17887792,1462856,6.962879556866488,1090419,583364,41399894,871631,5.401678759662294,400177,3767761,5008926,2447170,1.2943238272396396,90818,144036,3652379,1196960,6.266042629004178,322051,152494,10808293,1051924,9.536008525869814
Guinea,GIN,2020,2573590,1113784,5968358,1305125,7.995125757320833,602015,169110,9279035,19892,5.196213144018423,1035981,254318,1584208,414717,8.389560167773636,824351,317815,1322288,1089551,1.4252405033038906,451444,281593,21092207,145207,4.019398068283349,70754,3516395,10034930,2195,6.605189216540644,610192,1538205,6787065,1672761,4.53450817690549,918612,2111940,29875319,377777,7.336379382106052,533971,3639424,9276809,881484,3.6004173577092238,3650300,1934878,10098413,1488763,8.976721076454963
Guinea-Bissau,GNB,2020,268874,358544,2228007,392608,1.2748110312647545,2323448,1503654,20343473,184260,6.3264444718861625,788745,1345301,4285166,1082360,0.3065407585033408,1596718,444880,3041509,1167942,3.576914503264711,3114609,373396,3660061,4268870,9.900937124253488,704937,797801,18723043,469307,2.006698191688745,1839370,1900493,14633001,1800611,5.102639859366109,96724,78332,16833236,63975,6.2631748659493125,1606086,2231312,13111429,1537252,3.442532152179684,602761,1784604,750051,295268,1.3170025078683822
Guyana,GUY,2020,437713,3111394,345386,347019,1.4538975536099583,175617,1934141,14763519,13001,6.550371455324873,2052274,192673,7974295,2390378,5.053459985457327,418100,146324,4861415,746271,1.4818414577411498,338225,164361,17783880,1056869,2.9382232834316224,734949,1812167,35540802,2269439,7.598160023365316,183063,2325463,2670316,202534,9.156839055732604,2535298,391144,8043782,553104,6.997093387646585,1152192,588341,16785562,1155476,8.601844655718423,2426460,604024,1944313,723171,3.067615755363059
Haiti,HTI,2020,2320567,216199,12721519,2906626,2.102686712040538,1831549,265874,4171125,671901,8.174225110609026,737313,564417,3430895,602266,4.780012849154765,428596,183179,15085340,391022,7.010385134358167,163958,968542,14603787,548766,5.596392281276703,2012425,203528,29200083,576489,2.6843883813587945,124981,1055860,9913232,528891,7.415767073967453,1242573,856345,12074750,280594,4.396859189666867,121092,1043167,7816572,45835,0.4217054054494495,175067,328321,7186793,515865,2.825425051364641
Honduras,HND,2020,290026,1044577,9235635,650897,5.485623514445953,1884367,1060123,9803443,62141,0.2831509288502909,2506000,470642,2726895,321595,2.8651638436555213,1636914,170648,2022645,459841,7.060605717274377,2429050,49881,13977816,511632,0.0395151763861978,680019,1487510,23366265,1079033,6.296814509465039,1641222,2291664,9621015,450513,8.038089037384053,218045,12623,66042273,1155128,1.408435647898636,705155,611018,713814,230323,9.230183117340166,1878361,827022,21540053,1366240,4.704626979523905
Hungary,HUN,2020,84827,1898424,4189265,1457633,8.38435069236393,128851,579956,9694187,906242,2.593843469674689,145568,582296,10668705,157452,0.9270479744115312,2741341,848863,11384973,1818418,9.410842514488545,1365921,1713872,184365,766336,8.309334164048181,1595774,13568,2629123,1091564,0.690084759970272,362930,2721129,412060,51656,3.376211921125657,34082,1885950,5438516,2681136,2.495298937565833,95795,208470,1737581,2104617,5.937749026516595,38612,309610,2430446,613179,8.003516533258443
Iceland,ISL,2020,424650,1166849,218380,3692940,3.500601048622168,1220128,683430,5810663,1589838,0.3109730783637843,1667734,888335,11081317,98683,5.476995163163789,34973,108065,1526700,1652006,0.2266648993979236,593532,1426613,8841183,1014194,1.6963738088222524,2551782,910844,17059763,370184,5.628469736817,4061552,4313579,14271019,797903,3.400127251899616,3668018,1156911,2546448,2552763,5.032198130193789,1452383,544783,23212968,1190256,5.4196636364545,526000,1676586,3032854,276436,4.606729306871361
India,IND,2020,138093,32807,1519667,747789,3.583249100550182,64990,508676,9546354,642891,7.799500617641712,787778,1733701,7613068,1420022,6.716897742345728,329708,1428409,3203264,932983,8.935390539926942,920285,67461,123266,446442,3.478879808589561,1559265,686848,2241501,548692,1.2378735821035214,1603611,617942,4164439,713578,6.956247189538093,1777447,602745,8534928,142516,7.00409903309912,641526,322446,24894815,2324461,3.981315529184312,716014,347491,2098714,53324,7.287015282000924
Indonesia,IDN,2020,1644920,614750,366215,843286,1.2381839191203847,598083,1487979,4831092,272580,4.22693333702934,25501,1798521,6273066,1985352,7.553795156961711,435543,59741,3990319,663003,8.839924642948953,702090,449425,10860878,138267,2.1500929441628323,1556376,2068076,5572808,98360,0.8381611294512126,1600011,145352,11071851,666845,5.03450489707298,381708,954346,6979805,1073664,6.221096422532659,952990,581393,10206978,910060,0.3873622530395593,883051,2837599,7455256,443887,5.327886839163094
Iran,IRN,2020,2255839,1533225,12023728,489192,2.5332266044725738,1345157,210395,30657402,163844,1.218863438295862,166808,109979,6729135,694762,6.816561271967673,620643,1652616,13846861,1139467,0.7719567503583957,324101,95350,8863881,697714,5.780141153414862,3636,506909,1899513,1983080,0.5641052059655527,546205,735142,1227443,1648667,3.1726323259312217,175361,771610,10947233,29817,1.4056696454030726,7750,273246,3265463,551543,4.794023735062454,1449,2432723,30540562,489391,3.751367900097413
Iraq,IRQ,2020,1769679,84429,1686998,96326,2.435771426432345,3218855,293582,16910722,1072032,2.060207628788412,827674,100246,712423,875903,5.051019749639753,1417465,2217226,6841777,943099,8.939084343328991,125656,27163,1999711,3459002,2.909092627386868,1170331,62053,256307,1051975,0.4936074939046209,1555226,619305,2018839,2267315,4.385966626183145,284966,4394729,7458544,561147,4.158195056824885,831281,50059,6955313,524401,3.8131275247332286,1519230,819845,13793420,1760239,9.938213271365605
Ireland,IRL,2020,612912,482486,2517699,201775,2.518622780837804,191736,1464887,3963311,967364,3.164884685227693,2142134,2966020,30950909,348906,4.817402792107463,624155,177274,1491347,237455,2.19012504148166,1060332,167078,879788,640199,5.935087694292575,689216,41927,4648740,44876,7.592550986631309,246288,256672,81381,787408,3.761783963636871,375265,199639,20835418,128373,7.95240771793814,974797,434088,21713431,239100,8.185188853981348,409994,2461608,9583711,1116830,9.672058863994671
Israel,ISR,2020,413774,911699,4125547,122498,7.74179790926405,1338867,120628,6864650,269334,0.644762714007594,1583980,688196,6220013,91181,8.098149861961495,822805,371398,11270608,282826,9.455048922064464,4156056,1054729,23352087,830135,7.623785963688836,1712346,235187,9509580,22599,4.171833581140445,554158,1534466,1668512,532028,4.906158971760942,2843266,1593762,985108,1235333,6.591586443693154,100503,1337160,13797746,1294248,2.502048306476101,1547320,1421585,7027993,384470,2.118411901966621
Italy,ITA,2020,1330186,581559,1130358,1373809,0.5696122135194914,764494,1681437,3032393,701104,9.669853142366025,626035,331404,7291473,295578,8.394588910205416,77025,1484200,12540401,705974,1.899650328678052,287205,2433362,20615262,5259669,5.679349702022528,1489360,2966549,18097630,2616115,2.64909111475148,26739,86877,5226889,672349,5.645605366795313,71271,2007988,8374028,1421423,6.278531693471963,2766992,144932,37385246,1268723,8.831675499020728,615454,148133,1956515,361244,5.707863811543663
Ivory Coast,CIV,2020,380124,675147,1617320,924883,3.950188867375571,1505752,908723,15418738,906741,5.041008162068979,1856576,276800,18294144,929251,5.652129901112025,29145,114843,31881712,1898752,3.062774814008133,422939,14878,314403,105473,9.963038420392644,1955591,924656,1553809,247365,4.671901791799957,3397553,1357006,1519996,45317,3.349950241773968,847123,90550,516856,559181,3.243210172583516,737944,404408,12200661,316526,1.246283011646483,184626,916426,1584269,1471421,4.127449321998496
Jamaica,JAM,2020,58251,4873977,11992863,10805,4.575577967660283,335655,1019946,6877155,340211,3.45275330229505,429733,1011020,8910662,137175,4.1245359738137966,103049,601519,14388365,1755140,9.723305280632944,716632,1625709,12755103,497572,1.1257066108322344,644341,94366,6979238,227004,7.819249453743179,71829,40641,12989424,545851,5.017134306756582,383323,1638734,8233291,9301,0.8383360543968899,194196,4057802,2070103,1092663,5.209530377757124,7175,5681377,2978999,335393,4.602896019365145
Japan,JPN,2020,827925,409626,1748918,1149916,1.1454425015956116,57436,264915,641696,98265,2.2579540347612728,3242933,2752434,6933223,719042,3.881290657225252,2256043,488423,3065634,1061117,5.984005509789735,449235,1079490,17327038,333066,8.178326528885556,990474,1148711,15380258,340666,9.767696873370864,407067,4267655,797148,1359885,7.840450192356773,150381,1288792,18909606,2217602,5.606295025704668,1277763,231365,4493042,455165,3.3925102752031613,925080,3947136,13986529,581694,2.8673745068609726
Jordan,JOR,2020,276322,297278,338349,4012382,3.687656176575297,2189374,408396,8276675,294857,4.293323497546711,2462091,988617,4596071,336823,5.1342515561604,629523,38996,2398108,874409,2.4883383128179872,407608,153623,2492729,753146,2.3557166665599616,513621,372104,7855636,195484,2.4678780975406864,170973,4287222,8880408,349947,2.961500974531439,796057,284517,3615855,802650,3.394781396138521,2008797,591115,52789185,1088787,0.4396935496163279,1166389,1414476,1428972,316520,0.9208828264502944
Kazakhstan,KAZ,2020,88955,1180065,114225,915478,2.875173389413883,1167129,2841727,198831,1275268,5.423320901571795,1964654,41936,23976017,975636,5.388847599167978,4889634,394229,1309328,1039888,6.827002182269891,458934,130585,7607172,327440,0.9435166142827778,690153,358222,43291563,1635296,6.663572565885968,2467547,1870246,12268906,699052,9.46411288796489,1206045,3065195,12846218,480887,5.049631112933479,1062183,597072,6750341,1100760,5.513308251824433,113123,134223,13745401,2244508,8.945365286685545
Kenya,KEN,2020,1889289,428896,2729085,107654,0.6510800032983488,835989,3078709,5545604,630390,1.8238062552700247,43535,81176,4882321,1276934,9.63906352976213,109711,656859,854958,438836,1.7067654036123447,1616663,6149245,13870965,47025,2.331643543616022,81560,1732115,4306765,1322025,3.1448412735301536,475638,1012237,12603714,2414662,4.656847010227844,213910,1495433,3770352,661522,2.247117019609701,366331,448764,3663631,725865,9.587231300231796,183572,685819,7939139,363661,8.461027068626258
Kiribati,KIR,2020,2718905,745230,5799570,2043588,8.238078572559086,1329916,417144,8927895,1532182,2.986249904635857,221462,222249,19808128,1388597,5.541057022869778,1880492,206889,1025426,1496214,1.7857514539729202,144976,192949,19610873,2474129,4.934630593957602,20304,76060,423727,222697,7.565133101731963,2066245,36386,2752134,2152777,6.035278212994757,1193756,3936235,3826050,64270,1.4574327019793465,3910623,1692666,2281130,842728,6.118800419737957,1836503,418833,2248261,1088235,7.517319111169151
Kosovo,XK,2020,77807,1442466,1550665,3107346,7.85548873520458,754036,345274,8720429,153145,7.57694715175359,172912,1060390,4281808,1426860,2.8117001453223023,1488253,531601,2405982,2010816,3.63074498143873,358466,357991,4126642,428324,6.801006614500743,1879602,1956872,11027058,1800090,0.67924380564516,512151,53458,5972445,309625,1.223101045854892,21763,1430163,1701992,1525617,4.187829533312513,1281495,228167,15920662,4162008,8.305657623889918,558362,1160858,8157463,2216914,3.763569865938068
Kuwait,KWT,2020,147106,286613,1946868,35073,1.8228978685916564,2716681,366528,10222466,2094081,7.1484380616107766,83401,78287,2400828,2485440,4.852618290527176,288707,724674,15483407,318243,4.316844606413369,1917673,579273,8662085,127691,3.333791405978377,1927043,668091,15206604,603011,0.9033227691528588,2795898,857941,7101266,2997058,2.3533472593813656,1303213,1255537,18944764,1763239,5.605641795764815,32245,2303755,209863,556961,4.4466563567723405,785364,356048,8555305,134516,5.544847449365824
Kyrgyzstan,KGZ,2020,1198025,279894,655845,83637,3.0649664730309456,1249586,28195,22979774,843872,0.1526393163436334,920183,4755,3944129,316214,0.8054919438020569,1836460,246621,1662427,1737652,0.9882127382094474,1429839,21040,19401741,3120816,6.066095065290615,1197004,2212405,9924123,1742670,3.327733503116636,1899066,1723345,5717384,678447,6.583159030369688,96840,876273,30514,3034128,0.1987032943023403,4367967,313853,4156931,2179185,4.377296382473958,2734911,503162,1197080,539732,1.2496872453550267
Laos,LAO,2020,239756,1318146,7324444,412382,4.703596472773764,142835,4978016,16515681,1993635,7.553649417917999,3110102,467688,1924581,3464164,4.7835495065748574,685038,300406,2130374,1516376,0.9404720350107189,332299,46197,2383902,203533,1.9959028692236969,73795,366102,2180509,1464134,2.6383817409549426,1010844,175936,9193226,1255822,8.18263736238651,798129,5986,21148514,2029680,5.509580976346592,1209030,153616,9207282,7140,1.0260451923165803,276899,581731,20478324,278124,0.6787084535524313
Latvia,LVA,2020,97198,764975,11386683,4088212,4.168689376948888,845007,271010,5884306,41147,5.8564782413210175,282319,3208430,5482322,456396,7.486093900656305,1264010,621253,2271784,340217,2.177318451370075,88456,946765,5436588,360327,1.375293903901964,52691,1889688,11201417,512827,7.51085034792327,1525434,572735,19760782,177014,3.2302801858089927,189986,313829,1008410,803980,7.370563117148721,1206157,1738373,10948714,281011,1.6927429977800743,1171396,566013,22061646,2280590,2.7533964061040983
Lebanon,LBN,2020,1736907,290068,17952991,1972054,0.1217724737984149,5145,1315531,32652255,1408824,6.089969796597323,2512260,90232,6174883,312879,1.2577081531286782,948899,14089,35960888,643607,8.35949071379241,216130,283968,13466569,321660,6.496411349798805,2087410,601432,8070101,444763,2.753302387965355,1274741,2015481,6619685,701510,8.947917254218199,928083,382732,26367947,3406129,3.9999802763151706,9948,54025,7705554,2707486,2.7934447315611832,1090674,2122936,9901275,628277,2.295968454222473
Lesotho,LSO,2020,2736628,274431,839912,1533213,7.666038812863173,930185,81349,409762,255912,0.0696908279190688,1494912,562569,8271780,76174,9.877477235924516,83029,1036581,4858629,532237,0.3525338452271265,2013160,12078,21454164,540239,6.483108110751531,62240,1345316,18111710,340870,5.460993638192663,822452,73145,5839957,2502195,5.401705605995848,931001,274863,5396171,30110,7.767276464642339,2051791,310466,8772148,1568040,7.138255865450963,2306537,334052,451402,40800,4.877054108524468
Liberia,LBR,2020,2252955,2066258,12694186,29146,9.525949269134014,1914763,1404571,6975968,529244,7.686791960294572,992689,3739897,1085450,1387308,3.406141045589444,183419,638606,10451701,413519,5.345141062504554,928484,324274,6012556,161727,4.951241261862998,3209324,19101,3071927,4008032,2.2418254242115188,52506,1178435,203928,2379844,8.15032751499474,426798,3469983,20516156,994337,3.6399192907997744,657968,3214805,9320074,49454,8.263584233386506,1420083,121691,37148811,319743,7.649369214615442
Libya,LBY,2020,5322731,1255578,5477642,287889,1.3181948898378515,569248,4804605,15687474,2506377,2.629361029589594,1656072,1052991,20166342,956704,5.600308219162037,84668,1624167,10149702,1529695,4.255634119648249,1387330,51030,3319258,1255872,4.750785967838526,1638922,802305,451025,897047,3.363538955831352,339544,557850,8911056,99413,9.595452656175611,703219,422643,3057075,539029,8.653942594569896,195087,122471,17714667,2102801,9.63196920867701,69711,562836,8637336,1331035,8.971908570285674
Liechtenstein,LIE,2020,347036,2945376,7053278,1568882,3.0484778888242223,344854,1648169,18452024,31302,7.342032978479711,74853,250133,19699164,752302,7.69279651192929,134711,1761728,3516576,532672,3.267464939495188,293459,448277,7890613,516181,8.04801995909852,209158,2932862,1643207,478854,7.337846790942198,59289,662105,1242110,2923043,3.0093811518677214,314653,3204818,789401,75071,6.8509728583559095,1841059,3627642,44848898,700768,8.878810085089409,195425,1913440,15210377,1059483,0.1003034317251305
